title,link,score,review,sentiment
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,5,내가 뭘 본건지 모르겠는 이상한 옴니버스,0.0296
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,2,도 안웃겼다 스토리라고 할게 없음,0.01769
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,웃기는 코믹 영화는 아닙니다 다만 관계에 대해 다시 생각해보게 되는 좋은 영화 였습니다 좋은 영화 만드시느라 모두 고생하셨습니다,0.97693
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,이게왜재밋어요 진짜 노잼임,0.01915
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,류승룡 개웃기ㅤㄴㅔㅋㅋㅋ 유쾌하니 재밌음,0.99352
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,2,제대로 급 영화평에 속고 배우에 속았다,0.00439
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,영화관에서 이런 영화 오랜만에 보네요 뭔 내용도 없고 스토리도 없고 전달하고자 하는 메세지도 없고 삼류를 넘어 사류 오류 같은 영화 점 주는 사람은 왜 점주는지 모르겠는 영화,0.00135
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,극장에서 많은 관객들이랑 다 같이 웃어본게 되게 오랜만인 것 같네요 배우들 연기도 좋고 무엇보다 재밌었어요,0.99211
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,10,방금 보고 나왔는데 러닝타임 내내 재밌었고 분명 울림과 메세지도 있다 나는 호,0.99614
장르만로맨스,https://movie.naver.com/movie/bi/mi/pointWriteFormList.naver?code=185264&type=after&isActualPointWriteExecute=false&isMileageSubscriptionAlready=false&isMileageSubscriptionReject=false&page=1,1,공짜표로 봐도 시간 아까운 영화,0.00374
